name,gender
jagnath,M
mooli,F
nosad,M
hasim,M
daksh,M
jagviri,F
kailashi,F
karamvir,M
dilsah,M
shanaj,F
chanderbal,M
afsar,M
aneeta,F
sawariya,F
chanda,F
ramjas,F
shehnaz,F
talib,M
hasina,F
panchhi,M
hemleta,F
prinkya,F
saaniya,F
anita,M
nazani,F
mujaffar,M
gopal,M
tuka,M
moolchul,M
kalwant,M
chetana,F
ompati,F
anoj,M
rehaan,M
munia,F
batloon,F
henkhochon,M
vipasha,F
shakutal,F
ishatkar,M
talvender,M
isnesh,F
nishal,M
kausal,M
kanak,F
shaulal,M
chatter,M
sikander,M
veejita,F
anwari,F
aadish,M
somwati,F
subhadra,F
ramesh,M
bhudhashen,M
rozi,F
swami,M
prabhila,F
satish,M
ganga,F
asiwani,M
rajneesh,M
gulista,F
sujata,F
noreen,F
abhinandan,M
bhatri,F
jodhi,M
bitto,M
agyapad,M
naulakh,M
beena,F
ashtha,F
ilema,F
tushal,M
ashfaq,M
rakshit,M
divakar,M
jawhar,M
chanab,F
liveri,M
devi,M
mehruddin,M
kripya,F
panchoo,F
birmati,F
julekha,F
tabsum,F
aanik,F
kumail,M
batasi,F
faroj,M
niti,F
dhmendar,M
p,M
rishu,M
arbaz,M
mishbha,F
natasha,F
anirudh,M
shoaib,M
krishna,F
moshri,F
nashima,F
nisa,F
mahendra,M
jibanti,F
najiya,F
radhe,M
amie,F
har,F
karmi,F
ruben,M
parvinder,F
sattu,F
sngeeta,F
sarju,F
tanjima,F
gulab,M
nursa,F
khemraj,M
sehnawaj,M
bhanweri,F
sashi,M
rehmati,F
jagdiesh,M
radesyam,M
ganpati,M
mihir,M
ravena,F
kalayan,M
amida,F
ridhima,F
bagdai,F
manpreet,F
afsari,F
elwin,M
ayushi,F
vidhya,F
tarawati,F
laltia,F
sartaj,M
shivcharan,M
gulnaaz,F
ratani,F
urmila,F
vansu,M
vaibhav,M
narayan,M
parven,F
arindra,M
minka,F
shabnam,F
dulari,F
suleman,M
poojadevi,F
kesri,M
raud,M
para,F
jameela,F
son,M
hemlata,F
sameer,M
suhail,M
dharm,M
sheikhsai,M
vashisast,M
jahagir,M
bhavishya,M
wajuddin,M
manjar,M
kabal,M
joshna,F
warmati,M
shathi,F
prabhudayal,M
akhtari,F
harichand,M
ratna,F
meenakshi,F
haliya,F
nathulal,M
bhabhiya,F
radhey,M
nazmin,F
sachidanand,M
jharna,F
shamshad,M
shashid,M
mazida,F
darshan,F
rishu,F
amjat,M
rajudi,F
irfan,F
mursida,F
simranjeet,M
saral,F
safia,F
jubed,M
